Id,Price
4567,180094.62104158322
5925,221784.69862953157
960,203105.1193572663
3848,319778.6719484389
746,148212.16632289978
868,200035.20514381392
672,180431.37647455337
2471,220140.67161511024
4510,290287.3507756609
8354,206491.75577282484
6393,254525.03460369105
13270,216565.9059262743
5250,162377.1745546839
16751,185299.8179433647
11404,122231.63784513135
10588,187782.8303252762
14925,353325.5208767009
6791,180126.42224187407
16097,221393.47421594438
16428,229459.7108511793
6945,185350.5085812289
3190,152292.33643248788
15709,215030.4648905604
13155,159585.91703024588
7675,179755.37522828055
14686,187847.73036590448
609,228117.82589580902
11155,126565.54690424284
10869,192474.68928645982
15742,268766.2542535728
9245,185886.166970559
3340,258204.21897890506
2359,196190.60572023178
8070,180188.83099935812
13707,188109.10470118432
16079,226156.17386929097
15937,200283.66981652493
14090,189420.18108304506
9008,178188.0913243957
16384,128634.91376043901
11657,204936.51739081537
13151,190326.40243267646
8990,222725.0057020054
11857,152585.71803914054
1565,192260.54261753088
8174,210951.01721840506
9247,219016.25300037095
10478,260180.75906299957
15509,255074.2609240567
8306,173594.4247776011
6642,140627.70283414115
7472,435466.33374635153
15989,231188.65953333845
13682,195082.7543661579
163,200656.2488341831
7076,142826.090010907
7478,177287.5606800686
3029,331077.02257749665
1814,129986.02462596189
10057,126466.4869238709
15100,251499.23159631874
12694,359301.8172065512
6291,192008.5774054238
12603,353801.8062248334
3218,262695.78204166656
13456,210324.02440210604
10170,213478.5219455384
4530,307075.7021758823
13329,190149.206587146
4820,228951.67912405034
10896,166282.02426369497
13416,308168.26625064615
2701,348110.66274367296
11265,231457.0968178228
9189,159335.30549021804
1858,175209.78446427677
14536,237074.8228676795
6199,292592.36922753893
14730,387171.1552441466
7510,184803.64681368342
15505,204243.81054335713
7446,241113.541200869
14016,182265.2195105504
14113,339255.8763680362
8721,260881.07198883945
6193,322746.4196322864
5717,244734.98211955704
5427,193661.21812319287
9520,176359.06054051607
6869,199440.27772068002
1658,195675.85917987544
6639,174367.2682784247
6283,192048.97452438853
6257,155139.34873643765
15235,217552.10015227014
902,190630.57678098555
8932,248068.74522639462
16469,215018.8502219425
2825,141892.03789262008
6450,149573.48740624535
11366,166371.02203888784
3801,190396.95821450488
11385,184866.65054138552
1079,195788.21718633285
3202,161288.75104735
676,190940.4755326719
6185,181890.66922382172
7730,204966.76458929363
2573,185354.60440260463
10978,143498.8918678131
10962,225268.2970710253
8870,140816.06718481626
8496,226544.82810478605
5517,156802.74566497485
927,265307.2110683601
13675,231197.2606110057
1499,169967.51798210444
15536,109050.80459023523
8602,160509.92018726486
12137,234080.47929877124
9865,122324.33620603812
16353,139705.4261269847
15908,278208.7221743213
3944,108909.35407799423
10359,172938.18156158543
15158,217158.46852270386
3259,458853.11001224746
7220,182063.51023791893
13843,140627.70283414115
16736,178622.2351821134
702,139955.19882688337
16401,171796.08450361792
12134,166269.3544239439
6918,183078.43340523282
11792,141892.03789262008
3798,250815.98817940796
10395,215699.25395093535
11099,218729.48871646257
7090,196194.38200569604
11260,322501.56863434723
9647,170154.03489776145
2903,274742.8245481206
2071,254080.29908300645
8604,158743.02515067745
9346,216305.6871301417
3945,436379.1026651084
3420,171660.87707632588
10842,183116.40963078596
725,185324.5409096168
13931,396382.8067457124
16330,196083.8549739085
9066,268205.6192367891
3326,168446.85781436812
1556,273461.21649993036
6579,187758.88895448114
13877,209299.77451949453
9857,176068.9994947706
7302,149157.6841782336
5684,163351.61951721762
6513,179749.20430011465
11342,119986.4041787753
16561,395917.2706027591
6885,350779.2235612236
9308,195929.60679024877
2559,122324.33620603812
6648,165743.9867674422
15260,204503.2677205318
5113,114034.61705429241
16492,186646.03495377707
12034,207411.37851161897
7248,225952.57189505565
2171,133553.7738756874
10594,196713.66519739034
13241,204332.90291590866
7032,91444.1247541753
4884,247722.72432765484
903,206256.1818438461
162,231223.79746714557
6566,254554.3424385257
8249,333196.12587895454
13106,233899.09688510853
256,190203.93352568775
7976,192008.5774054238
8575,335446.8497703897
7591,344710.4056971141
3204,170259.48645732302
15804,258296.917833375
1525,155735.53099856855
9038,358393.853912219
13628,183275.6201823624
10016,189866.9502259926
10208,174033.81084904817
2008,137470.12605848658
13029,189275.08220673612
5099,219960.05304652496
9923,411485.1565357762
9461,220268.64126317145
11086,205502.92239091155
15057,263557.5711042379
10689,244987.08736688705
2053,229501.89538731828
16630,263669.1128850498
4985,216942.89584478972
13881,393845.23823400505
13225,175163.59993499517
5779,237640.86923010208
10262,247236.48887083548
10762,197187.028759276
9513,148784.85001496453
11128,188724.9070981102
2074,194666.66171761928
933,154514.610596329
2780,183792.90347133155
6594,189817.74710363464
15394,138690.86376840444
14863,324305.9215122071
6698,180448.4317081823
1611,172579.9054858029
174,233850.90087780138
5160,183546.97855887908
3295,202697.65940360603
4559,189340.65584725724
8254,214027.33976817585
10228,193005.6474231827
13924,201901.23337142204
15341,476772.40307141154
4353,363451.8244524335
4334,189782.45370299293
1872,200607.75495587286
7823,276461.37660152745
310,234017.48008545287
3704,171963.78630058907
11615,135843.29642491494
6605,197756.21196528946
3381,188938.19484632896
2143,220938.36713178424
3191,280099.03330793
13980,241326.9871779318
15613,180961.81835230775
10943,184630.10925080624
9654,180232.90827857042
